Abel
abogado
abuelo
académico
accionista
actor
administrador
administrativo
adolescente
Adolfo
Adrián
adulto  
afectado  
aficionado
africano
agente
agricultor
Agustín
Alan
Albert
Alberto
alcalde
Alejandro
alemán
Alex
Alexander
Alfonso
Alfredo
aliado
Alonso
alumno
Álvaro
amante
americano
amigo
amo
analista
anciano
anfitrión
Ángel
Aníbal
Anselmo
Antonio
árabe
árbitro
argentino
Armando
arquero
arquitecto
artista
Arturo
asesino
asesor
asiático
asistente
aspirante
atleta
autónomo
autor
ayudante
bailarín
bebé
beneficiario
Benito
Bernardo
blanco
boliviano
borracho
brasileño
británico
Bruno
caballero
camarero
Camilo
campeón
campesino
canadiense
canciller
candidato
cantante
capitalista
capitán
cardenal
cartero
catalán
catedrático
católico
César
Chávez
chico
chileno
chino
chofer
Christian
ciego
científico
cineasta
cirujano
ciudadano
civil
Claudio
cliente
colaborador
colega
colombiano
comandante
comercial
comerciante
compañero
compatriota
competidor
cómplice
compositor
comprador
concejal
conductor
consejero
consumidor
coronel
corredor
creador
criminal
crío
Cristian
Cristiano
cristiano
Cristo
Cristóbal
crítico
cubano
culpable
Daniel
Darío
David
defensor
delantero
delegado
delincuente
demócrata
deportista
detenido
dictador
Diego
diputado
directivo
director
diseñador
docente
doctor
Domingo
dominicano
dueño
economista
ecuatoriano
Eduardo
ejecutivo
elector
embajador
Emilio
emperador
empleado
empresario
encargado
enemigo
enfermero
enfermo
Enrique
entrenador
Ernesto
esclavo
escolar
escritor
español
especialista
esposo
estadounidense
Esteban
estudiante
Eugenio
europeo
experto
extranjero
fabricante
famoso  
fan
favorito
Federico
Felipe
Félix
feminista  
Fernando
Fidel
filósofo
fiscal
físico
fotógrafo
francés
Francisco
Franco
Frank
funcionario
fundador
futbolista  
Gabriel
gallego
ganador
Gaspar
general
George
Gerardo
gerente
Germán
gobernador
gobernante
goleador
Gonzalo
Gregorio
griego
guardia
Guillermo
Gustavo
habitante
Harry
Héctor
Henry
hermano
héroe
hijo
hincha
historiador
Hitler
holandés
hombre
Horacio
Hugo
humano
Ignacio
indígena
indio
individuo
informático
ingeniero
inglés
inmigrante
inspector
intelectual
intérprete
inversor
investigador
Ismael
israelí
italiano
Iván
Jack
Jaime
japonés
Javier
jefe
Joan
Joaquín
Joe
John
Jon
Jonathan
Jordi
Jorge
Josep
joven
Juan
judío
juez
jugador
Julián
Julio
ladrón
latino
latinoamericano
lector
legislador
Leo
Leonardo
libertador
líder
loco
Lorenzo
macho
madrileño
maestro
magistrado
Manolo
Manuel
Marc
Marcelo
Marco
Mariano
marido
Mario
Mark
Martin
Martín
matemático
Mateo
Mauricio
Max
mayor
mecánico
médico
mexicano
Michael
miembro
migrante
Miguel
Mike
militar
ministro
monarca
muchacho
muerto
músico
Nacho
narrador
nativo
negro
Nelson
Néstor
Nico
nieto
niño
norteamericano
novelista
novio
obispo
occidental
Octavio
óptico
oriental
Óscar
Pablo
paciente
Paco
padre
palestino
Pancho
papá
paraguayo
parlamentario  
pasajero
pastor
Patricio
patrón
Paul
Pedro
Pepe
periodista  
persona  
peruano
pescador
Peter
pianista  
pintor
poeta
policía
político
portugués
presidente
preso
primo
príncipe
prisionero
productor
profesional
profesor
propietario
protagonista  
proveedor
psiquiatra  
puto
químico
Rafael
Ramiro
Ramón
Raúl
receptor
rector
refugiado
representante
revolucionario
rey
Ricardo
Richard
rico
Robert
Roberto
Rodolfo
Rodrigo
Romero
Roque
Rubén
rubio
ruso
sacerdote
Samuel
San
sanitario
Santiago
Santo
santo
sargento
Sebastián
secretario
seguidor
senador
señor
señorito
Sergio
Simón
sobrino
socialista
socio
soldado
sospechoso
suicida
suizo
taxista  
técnico
teniente
terrorista
testigo
tío
titulado
Tony
trabajador
turista
universitario
uruguayo
varón
vasco
vecino
vendedor
venezolano
Vicente
vicepresidente
víctima
Víctor
viejo
viudo
voluntario
votante
