abuelo
bisabuelo
bisnieto
caballero 
caballeros
chico 
cuñado
don 
esposo
esposos
hermano 
héroe
hijo
hombre 
hombres 
jinete
macho
machos 
marido 
maridos
nieto 
padrastro
padrastros
padre
padrino 
papá
príncipe
rey 
señor
señorito 
suegro 
tío 
varón
yerno 
yernos
masculinidad
masculinidades
