abuelas
amazonas
bisabuelas
bisnietas
chicas
cuñadas
damas
doñas
esposas
feminidades
hembras
hermanas
heroínas
hijas
madrastras 
madres
madrinas
mamás
mujeres
nietas
nueras
princesas
reinas
señoras
señoritas
suegras
tías
